,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,source,category
103,Red Tape,Men Round Toe Sneakers,Rs. 7199,Rs. 1295,4.4,1.8k,MyntraCasualShoesMens,Casual Shoes
104,LOUIS STITCH,Men Suede Lightweight Loafers,Rs. 4499,Rs. 2294,4.3,20,MyntraCasualShoesMens,Casual Shoes
105,ASIAN,Men Colourblocked Sneakers,Rs. 1499,Rs. 764,3.8,2.6k,MyntraCasualShoesMens,Casual Shoes
106,Puma,Smashic Casual Sneakers,Rs. 4499,Rs. 1529,4.2,33.1k,MyntraCasualShoesMens,Casual Shoes
107,Campus,Men PU Sneakers,Rs. 3299,Rs. 1484,4.4,318,MyntraCasualShoesMens,Casual Shoes
108,U.S. Polo Assn.,Men Classic Sneakers,Rs. 3199,Rs. 1215,4.2,61.9k,MyntraCasualShoesMens,Casual Shoes
109,Red Tape,Men Colourblocked PU Sneakers,Rs. 6299,Rs. 1133,4.4,445,MyntraCasualShoesMens,Casual Shoes
110,U.S. Polo Assn.,FRITOF 3.0 Men Loafers,Rs. 3599,Rs. 2159,4.6,94,MyntraCasualShoesMens,Casual Shoes
111,Red Tape,Men PU Sneakers,Rs. 6299,Rs. 1133,4.5,1.2k,MyntraCasualShoesMens,Casual Shoes
112,Red Tape,Men Round Toe Sneakers,Rs. 7199,Rs. 1295,4.4,1.1k,MyntraCasualShoesMens,Casual Shoes
113,LOUIS STITCH,Men Textured Suede Derbys,Rs. 4499,Rs. 2294,4.6,15,MyntraCasualShoesMens,Casual Shoes
114,Red Tape,Men Colourblocked Sneakers,Rs. 7099,Rs. 1277,4.3,402,MyntraCasualShoesMens,Casual Shoes
115,Campus,Men Colourblocked Sneakers,Rs. 2999,Rs. 1409,4.5,97,MyntraCasualShoesMens,Casual Shoes
116,Campus,Men Flynn Slip-On Sneakers,Rs. 2199,Rs. 1297,4.2,163,MyntraCasualShoesMens,Casual Shoes
117,Red Tape,Men Colourblocked Sneakers,Rs. 6799,Rs. 1223,4.4,2.5k,MyntraCasualShoesMens,Casual Shoes
118,Jack & Jones,Men Colourblocked Sneakers,Rs. 2999,Rs. 1649,3.5,11,MyntraCasualShoesMens,Casual Shoes
119,Kickers,Men Leather Derbys,Rs. 7999,Rs. 5599,0,0,MyntraCasualShoesMens,Casual Shoes
120,Jack & Jones,Men Round Toe Sneakers,Rs. 2999,Rs. 1349,2.7,18,MyntraCasualShoesMens,Casual Shoes
121,Red Tape,Men Colourblocked Sneakers,Rs. 6699,Rs. 1205,4.3,1.5k,MyntraCasualShoesMens,Casual Shoes
122,THOMAS CRICK,Men Round Toe Penny Loafers,Rs. 7439,Rs. 1562,4.1,74,MyntraCasualShoesMens,Casual Shoes
123,Red Tape,Men Solid PU Sneakers,Rs. 7099,Rs. 1277,4.4,1.7k,MyntraCasualShoesMens,Casual Shoes
124,Red Tape,Men PU Sneakers,Rs. 6299,Rs. 1133,4.5,614,MyntraCasualShoesMens,Casual Shoes
125,Monte Carlo,Men Penny Loafers,Rs. 4999,Rs. 2999,4.3,31,MyntraCasualShoesMens,Casual Shoes
126,Red Tape,Men Colourblocked Sneakers,Rs. 7699,Rs. 1385,4.6,258,MyntraCasualShoesMens,Casual Shoes
127,Red Tape,Men Lace Up High Top Sneakers,Rs. 6699,Rs. 1205,4.4,4.4k,MyntraCasualShoesMens,Casual Shoes
128,Campus,Men Textured Slip-On Sneakers,Rs. 2199,Rs. 1297,4.1,133,MyntraCasualShoesMens,Casual Shoes
129,Red Tape,Men Colourblocked PU Sneakers,Rs. 6299,Rs. 1133,4.4,168,MyntraCasualShoesMens,Casual Shoes
130,Puma,Smashic Casual Sneakers,Rs. 4499,Rs. 1529,4.2,33.1k,MyntraCasualShoesMens,Casual Shoes
131,LOUIS STITCH,Men Lightweight Derbys,Rs. 4499,Rs. 2294,4.3,29,MyntraCasualShoesMens,Casual Shoes
132,HRX by Hrithik Roshan,Unisex Back To School Shoes,Rs. 3699,Rs. 813,4.2,804,MyntraCasualShoesMens,Casual Shoes
133,Red Tape,Men Colourblocked Sneakers,Rs. 7199,Rs. 1295,4.3,301,MyntraCasualShoesMens,Casual Shoes
134,U.S. Polo Assn.,ANTON Men Loafers,Rs. 3699,Rs. 2219,4.5,145,MyntraCasualShoesMens,Casual Shoes
135,Red Tape,Men Textured Sneakers,Rs. 6999,Rs. 1259,4.1,192,MyntraCasualShoesMens,Casual Shoes
136,Red Tape,Men Colourblocked PU Sneakers,Rs. 6599,Rs. 1187,4.5,73,MyntraCasualShoesMens,Casual Shoes
137,Campus,Men Colourblocked PU Sneakers,Rs. 2899,Rs. 1304,4.4,317,MyntraCasualShoesMens,Casual Shoes
138,Red Tape,Men Colourblocked Sneakers,Rs. 7599,Rs. 1367,4.4,87,MyntraCasualShoesMens,Casual Shoes
139,Flying Machine,Men Round Toe PU Sneakers,Rs. 3199,Rs. 1343,4.3,178,MyntraCasualShoesMens,Casual Shoes
140,Ducati,Men Everyday Sneakers,Rs. 3299,Rs. 1418,4.1,10,MyntraCasualShoesMens,Casual Shoes
141,Liberty,Men Colourblocked Sneakers,Rs. 1799,Rs. 791,4.2,87,MyntraCasualShoesMens,Casual Shoes
142,Red Tape,Men Colourblocked Sneakers,Rs. 6599,Rs. 1187,4.4,692,MyntraCasualShoesMens,Casual Shoes
143,Puma,Palermo Lth Sneakers,0,0,4.5,94,MyntraCasualShoesMens,Casual Shoes
144,Jack & Jones,Men PU Sneakers,Rs. 2999,Rs. 2099,3.4,5,MyntraCasualShoesMens,Casual Shoes
145,Red Tape,Men Slip Resistant Sneakers,Rs. 6699,Rs. 1205,4.3,11.9k,MyntraCasualShoesMens,Casual Shoes
146,U.S. Polo Assn.,FRITOF 3.0 Men Loafers,Rs. 3599,Rs. 2159,4.6,61,MyntraCasualShoesMens,Casual Shoes
147,Red Tape,Men Colourblocked Sneakers,Rs. 6499,Rs. 1169,4.4,192,MyntraCasualShoesMens,Casual Shoes
148,Red Tape,Men Textured PU Sneakers,Rs. 9399,Rs. 1691,4.2,82,MyntraCasualShoesMens,Casual Shoes
149,Ducati,Men Textured Driving Shoes,Rs. 3999,Rs. 1639,4.1,41,MyntraCasualShoesMens,Casual Shoes
150,HRX by Hrithik Roshan,Men Active Running Shoes,Rs. 6999,Rs. 1539,4.1,38,MyntraSportsShoesMens,Sports Shoes
151,OFF LIMITS,Men Non-Marking Running Shoes,Rs. 5499,Rs. 1484,3.9,267,MyntraSportsShoesMens,Sports Shoes
152,HRX by Hrithik Roshan,HRX-235 02 Running Shoes,Rs. 3999,Rs. 999,3.9,118,MyntraSportsShoesMens,Sports Shoes
153,WROGN,Men Walking Shoes,Rs. 2499,Rs. 924,0,0,MyntraSportsShoesMens,Sports Shoes
154,OFF LIMITS,Men Trekking Shoes,Rs. 7999,Rs. 1999,4,44,MyntraSportsShoesMens,Sports Shoes
155,Campus,Men Woven Design Slip-On Sneakers,Rs. 1999,Rs. 1219,4.4,42,MyntraSportsShoesMens,Sports Shoes
156,Puma,Smash Sprint Indoor Sport Shoe,Rs. 4999,Rs. 1749,4.2,5.1k,MyntraSportsShoesMens,Sports Shoes
157,Campus,Men Walking Shoes,Rs. 2299,Rs. 1379,0,0,MyntraSportsShoesMens,Sports Shoes
158,Puma,Men Square Cricket Shoes,Rs. 4999,Rs. 1749,4.4,346,MyntraSportsShoesMens,Sports Shoes
159,WROGN,Men Woven Design Walking Shoes,Rs. 2499,Rs. 924,0,0,MyntraSportsShoesMens,Sports Shoes
160,Campus,Men DRAGON Running Shoes,Rs. 2499,Rs. 1224,4,1.8k,MyntraSportsShoesMens,Sports Shoes
161,ADIDAS,Men Breaknet 2.0IKD Basketball,Rs. 5999,Rs. 3599,4.4,212,MyntraSportsShoesMens,Sports Shoes
162,Red Tape,Men Basketball Shoes,Rs. 9199,Rs. 1655,4.2,164,MyntraSportsShoesMens,Sports Shoes
163,Campus,Men Running Shoes,Rs. 1899,Rs. 1099,4.2,3.6k,MyntraSportsShoesMens,Sports Shoes
164,ADIDAS,Men Crinu 23 Cricket Shoes,Rs. 4799,Rs. 2303,4.2,42,MyntraSportsShoesMens,Sports Shoes
165,Puma,Men Cricket Shoes,Rs. 4999,Rs. 1749,4.2,1k,MyntraSportsShoesMens,Sports Shoes
166,HRX by Hrithik Roshan,Men Active Running Shoes,Rs. 6950,Rs. 1598,4,30,MyntraSportsShoesMens,Sports Shoes
167,ADIDAS,Men Adivat Running Shoes,Rs. 3299,Rs. 1649,4.3,2.8k,MyntraSportsShoesMens,Sports Shoes
168,WROGN,Men Running Shoes,Rs. 3299,Rs. 1286,4.3,24,MyntraSportsShoesMens,Sports Shoes
169,HRX by Hrithik Roshan,Men Active Running Shoes,Rs. 6950,Rs. 1598,3.8,29,MyntraSportsShoesMens,Sports Shoes
170,Skechers,Men Go Run Consistent Shoes,Rs. 5499,Rs. 2749,4.4,1.1k,MyntraSportsShoesMens,Sports Shoes
171,ASIAN,Men Mesh Running Shoes,Rs. 2549,Rs. 1198,4.2,255,MyntraSportsShoesMens,Sports Shoes
172,Campus,Men Mesh Running Shoes,Rs. 2399,Rs. 1655,4.2,489,MyntraSportsShoesMens,Sports Shoes
173,HRX by Hrithik Roshan,Unisex Running Shoes,Rs. 2999,Rs. 959,4.1,195,MyntraSportsShoesMens,Sports Shoes
174,WROGN,Men Walking Shoes,Rs. 2499,Rs. 924,0,0,MyntraSportsShoesMens,Sports Shoes
175,Campus,Men Running Shoes,Rs. 1699,Rs. 1149,4.3,2.1k,MyntraSportsShoesMens,Sports Shoes
176,ASICS,Men Gel-Contend B+ Running,Rs. 4299,Rs. 2149,4.2,612,MyntraSportsShoesMens,Sports Shoes
